天天基金	总市值	64547.24	累计收益	5415.37
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
广发中证500ETF联接A	162711	1.0519	9697.57	10433.61	233.61
富国中证红利指数增强	100032	1.0142	8677.60	9449.90	649.90
广发养老指数A	000968	0.8530	6096.21	5740.19	540.19
广发医药卫生联接A	001180	0.7111	6750.28	5620.28	820.28
富国沪深300指数增强	100038	1.3043	2760.12	4405.15	805.15
广发中证传媒ETF联接A	004752	0.7235	4423.48	3324.68	124.68
富国中证500指数(LOF)	161017	1.3250	2046.97	3254.68	542.57
广发中证环保ETF联接A	001064	0.5379	5949.77	3234.88	34.88
易方达安心回报债券A	110027	1.6007	1743.65	2924.10	133.10
华安德国30(DAX)联接	000614	1.0612	1884.74	2278.65	278.65
易方达创业板ETF联接A	110026	1.3190	1213.09	2092.82	492.82
兴全可转债混合	340001	0.9816	1630.08	1864.15	264.15
交银中证海外中国互联网指数	164906	1.1370	1407.29	1854.80	254.80
华夏上证50ETF联接A	001051	0.8966	1338.46	1327.75	127.75
华宝标普油气上游股票	162411	0.4776	3350.70	1249.81	-350.19
华宝中证1000指数分级	162413	0.8027	1495.03	1179.27	-20.73
广发中证全指金融地产联接A	001469	0.8886	900.35	968.41	168.41
华安黄金易ETF联接A	000216	1.0903	733.79	890.16	90.16
易方达证券公司分级	502010	0.8063	496.13	478.66	78.66
广发创业板ETF联接A	003765	0.8121	492.57	461.63	61.63
长信可转债债券A	519977	1.2011	333.04	451.56	51.56
华夏沪深300ETF联接A	000051	1.2285	325.61	418.08	18.08
华夏恒生ETF联接A	000071	1.4520	275.49	406.81	6.81
广发中证500ETF联接C	002903	0.8290	275.96	237.21	8.45
