天天基金	总市值	435764.27	累计收益	53339.15
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
富国中证红利指数增强	100032	1.0193	65064.33	75474.62	9154.62
广发养老指数A	000968	0.9167	63490.00	63699.51	5499.51
兴全可转债混合	340001	0.9886	32370.29	39310.48	7310.48
易方达安心回报债券A	110027	1.5931	20086.63	35352.46	3352.46
广发医药卫生联接A	001180	0.7451	41014.88	35276.89	4716.89
华安德国30(DAX)联接	000614	1.0910	20716.63	25108.55	2508.55
富国沪深300指数增强	100038	1.3129	14624.61	24861.83	5661.83
广发中证全指金融地产联接A	001469	0.9073	21163.93	24427.40	5227.40
交银中证海外中国互联网指数	164906	1.1444	16778.47	22835.49	3635.49
富国中证500指数(LOF)	161017	1.3432	9529.81	16238.79	3438.79
华宝标普油气上游股票	162411	0.5152	37267.45	15279.65	-3920.35
华夏恒生ETF联接A	000071	1.4562	6798.52	10672.31	772.31
广发中证环保ETF联接A	001064	0.4775	13403.92	7897.58	1497.58
长信可转债债券A	519977	1.2011	5328.62	7622.05	1222.05
华夏收益债券(QDII)A	001061	0.9172	5609.79	7601.26	2456.14
广发中证500ETF联接C	002903	0.9000	3889.32	3567.28	140.01
建信中证500指数增强A	000478	1.9397	3299.64	6800.22	400.22
广发中证传媒ETF联接A	004752	0.8150	7852.99	6550.96	150.96
