我的S定投计划	总市值	14481.06	累计收益	481.06
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9107	1046.73	2054.73	54.73
富国中证红利指数增强	100032	1.0954	1825.9	2015.79	15.79
华夏上证50ETF联接A	001051	0.9441	1059.17	1087.77	87.77
华夏中证500ETF联接A	001052	0.5517	1812.7	1002.42	2.42
广发中证传媒ETF联接A	004752	0.815	1227.03	955.24	-44.76
华安黄金易ETF联接A	000216	1.0902	1834.47	2231.63	231.63
交银中证海外中国互联网指数	164906	1.1113	899.82	1148.17	148.17
华夏恒生ETF联接A	000071	1.4513	689.02	1041.11	41.11
华宝标普石油指数	162411	0.4204	4757.9	1798.49	-201.51
华安德国30(DAX)联接	000614	1.0483	953.96	1145.71	145.71
