我的S定投计划	总市值	14691.6	累计收益	691.6
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9107	1046.73	2059.13	59.13
富国中证红利指数增强	100032	1.0954	1825.9	2032.23	32.23
华夏上证50ETF联接A	001051	0.9441	1059.17	1098.36	98.36
华夏中证500ETF联接A	001052	0.5517	1812.7	1000.61	0.61
广发中证传媒ETF联接A	004752	0.815	1227.03	919.17	-80.83
华安黄金易ETF联接A	000216	1.0902	1834.47	2256.21	256.21
交银中证海外中国互联网指数	164906	1.1113	899.82	1175.16	175.16
华夏恒生ETF联接A	000071	1.4513	689.02	1063.78	63.78
华宝标普石油指数	162411	0.4204	4757.9	1931.71	-68.29
华安德国30(DAX)联接	000614	1.0483	953.96	1155.25	155.25
